Дата,Корпус,Кол-во активных квартир
2023-08-13,"ул. Монтажников, д. 40, подъезд 2",55
2023-08-13,"ул. Монтажников, д. 40, подъезд 3",61
2023-08-13,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-08-13,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-08-13,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-14,"ул. Александра Митинского, д.  6, (ГП-3.1), подъезд 4",1
2023-08-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",3
2023-08-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",3
2023-08-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",4
2023-08-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-14,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",4
2023-08-14,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",40
2023-08-14,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",28
2023-08-14,"ул. Валентины Трофимовой, д. 12, подъезд 1",35
2023-08-14,"ул. Валентины Трофимовой, д. 12, подъезд 2",25
2023-08-14,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",1
2023-08-14,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",2
2023-08-14,"ул. Валентины Трофимовой, д. 8, подъезд 1",36
2023-08-14,"ул. Валентины Трофимовой, д. 8, подъезд 2",29
2023-08-14,"ул. Монтажников 36, (ГП-4.7), подъезд 1",21
2023-08-14,"ул. Монтажников, д. 38, подъезд 1",23
2023-08-14,"ул. Монтажников, д. 38, подъезд 2",14
2023-08-14,"ул. Монтажников, д. 38, подъезд 3",29
2023-08-14,"ул. Монтажников, д. 40, подъезд 1",53
2023-08-14,"ул. Монтажников, д. 40, подъезд 2",55
2023-08-14,"ул. Монтажников, д. 40, подъезд 3",61
2023-08-14,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-08-14,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",2
2023-08-14,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-15,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-15,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",3
2023-08-15,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",3
2023-08-15,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-15,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",4
2023-08-15,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",39
2023-08-15,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",28
2023-08-15,"ул. Валентины Трофимовой, д. 12, подъезд 1",35
2023-08-15,"ул. Валентины Трофимовой, д. 12, подъезд 2",25
2023-08-15,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",1
2023-08-15,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",2
2023-08-15,"ул. Валентины Трофимовой, д. 8, подъезд 1",35
2023-08-15,"ул. Валентины Трофимовой, д. 8, подъезд 2",26
2023-08-15,"ул. Монтажников 36, (ГП-4.7), подъезд 1",21
2023-08-15,"ул. Монтажников, д. 38, подъезд 1",23
2023-08-15,"ул. Монтажников, д. 38, подъезд 2",14
2023-08-15,"ул. Монтажников, д. 38, подъезд 3",29
2023-08-15,"ул. Монтажников, д. 40, подъезд 1",52
2023-08-15,"ул. Монтажников, д. 40, подъезд 2",55
2023-08-15,"ул. Монтажников, д. 40, подъезд 3",60
2023-08-15,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-08-15,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 1",1
2023-08-15,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-16,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-16,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",3
2023-08-16,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",3
2023-08-16,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-16,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",4
2023-08-16,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",39
2023-08-16,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",27
2023-08-16,"ул. Валентины Трофимовой, д. 12, подъезд 1",35
2023-08-16,"ул. Валентины Трофимовой, д. 12, подъезд 2",24
2023-08-16,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 1",1
2023-08-16,"ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3), подъезд 2",2
2023-08-16,"ул. Валентины Трофимовой, д. 8, подъезд 1",31
2023-08-16,"ул. Валентины Трофимовой, д. 8, подъезд 2",22
2023-08-16,"ул. Монтажников 36, (ГП-4.7), подъезд 1",20
2023-08-16,"ул. Монтажников, д. 38, подъезд 1",23
2023-08-16,"ул. Монтажников, д. 38, подъезд 2",12
2023-08-16,"ул. Монтажников, д. 38, подъезд 3",29
2023-08-16,"ул. Монтажников, д. 40, подъезд 1",52
2023-08-16,"ул. Монтажников, д. 40, подъезд 2",54
2023-08-16,"ул. Монтажников, д. 40, подъезд 3",60
2023-08-16,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",2
2023-08-16,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-17,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-17,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-17,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",3
2023-08-17,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-17,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-17,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",34
2023-08-17,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",24
2023-08-17,"ул. Валентины Трофимовой, д. 12, подъезд 1",34
2023-08-17,"ул. Валентины Трофимовой, д. 12, подъезд 2",24
2023-08-17,"ул. Валентины Трофимовой, д. 8, подъезд 1",29
2023-08-17,"ул. Валентины Трофимовой, д. 8, подъезд 2",21
2023-08-17,"ул. Монтажников 36, (ГП-4.7), подъезд 1",20
2023-08-17,"ул. Монтажников, д. 38, подъезд 1",21
2023-08-17,"ул. Монтажников, д. 38, подъезд 2",11
2023-08-17,"ул. Монтажников, д. 38, подъезд 3",28
2023-08-17,"ул. Монтажников, д. 40, подъезд 1",52
2023-08-17,"ул. Монтажников, д. 40, подъезд 2",49
2023-08-17,"ул. Монтажников, д. 40, подъезд 3",58
2023-08-17,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-17,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-18,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-18,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-18,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",2
2023-08-18,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-18,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-18,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",34
2023-08-18,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",24
2023-08-18,"ул. Валентины Трофимовой, д. 12, подъезд 1",34
2023-08-18,"ул. Валентины Трофимовой, д. 12, подъезд 2",22
2023-08-18,"ул. Валентины Трофимовой, д. 8, подъезд 1",29
2023-08-18,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-18,"ул. Монтажников 36, (ГП-4.7), подъезд 1",19
2023-08-18,"ул. Монтажников, д. 38, подъезд 1",19
2023-08-18,"ул. Монтажников, д. 38, подъезд 2",11
2023-08-18,"ул. Монтажников, д. 38, подъезд 3",28
2023-08-18,"ул. Монтажников, д. 40, подъезд 1",52
2023-08-18,"ул. Монтажников, д. 40, подъезд 2",45
2023-08-18,"ул. Монтажников, д. 40, подъезд 3",58
2023-08-18,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-18,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-19,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-19,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-19,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",2
2023-08-19,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-19,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-19,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",34
2023-08-19,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",24
2023-08-19,"ул. Валентины Трофимовой, д. 12, подъезд 1",34
2023-08-19,"ул. Валентины Трофимовой, д. 12, подъезд 2",22
2023-08-19,"ул. Валентины Трофимовой, д. 8, подъезд 1",29
2023-08-19,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-19,"ул. Монтажников 36, (ГП-4.7), подъезд 1",18
2023-08-19,"ул. Монтажников, д. 38, подъезд 1",19
2023-08-19,"ул. Монтажников, д. 38, подъезд 2",8
2023-08-19,"ул. Монтажников, д. 38, подъезд 3",28
2023-08-19,"ул. Монтажников, д. 40, подъезд 1",51
2023-08-19,"ул. Монтажников, д. 40, подъезд 2",42
2023-08-19,"ул. Монтажников, д. 40, подъезд 3",56
2023-08-19,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-19,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-20,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-20,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-20,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",2
2023-08-20,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-20,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-20,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",34
2023-08-20,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",24
2023-08-20,"ул. Валентины Трофимовой, д. 12, подъезд 1",34
2023-08-20,"ул. Валентины Трофимовой, д. 12, подъезд 2",22
2023-08-20,"ул. Валентины Трофимовой, д. 8, подъезд 1",29
2023-08-20,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-20,"ул. Монтажников 36, (ГП-4.7), подъезд 1",18
2023-08-20,"ул. Монтажников, д. 38, подъезд 1",19
2023-08-20,"ул. Монтажников, д. 38, подъезд 2",8
2023-08-20,"ул. Монтажников, д. 38, подъезд 3",28
2023-08-20,"ул. Монтажников, д. 40, подъезд 1",51
2023-08-20,"ул. Монтажников, д. 40, подъезд 2",42
2023-08-20,"ул. Монтажников, д. 40, подъезд 3",56
2023-08-20,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-20,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-21,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-21,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-21,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",2
2023-08-21,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-21,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-21,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",34
2023-08-21,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",24
2023-08-21,"ул. Валентины Трофимовой, д. 12, подъезд 1",34
2023-08-21,"ул. Валентины Трофимовой, д. 12, подъезд 2",22
2023-08-21,"ул. Валентины Трофимовой, д. 8, подъезд 1",29
2023-08-21,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-21,"ул. Монтажников 36, (ГП-4.7), подъезд 1",18
2023-08-21,"ул. Монтажников, д. 38, подъезд 1",19
2023-08-21,"ул. Монтажников, д. 38, подъезд 2",8
2023-08-21,"ул. Монтажников, д. 38, подъезд 3",28
2023-08-21,"ул. Монтажников, д. 40, подъезд 1",51
2023-08-21,"ул. Монтажников, д. 40, подъезд 2",42
2023-08-21,"ул. Монтажников, д. 40, подъезд 3",56
2023-08-21,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-21,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-22,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-22,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-22,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",2
2023-08-22,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-22,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-22,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",34
2023-08-22,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",24
2023-08-22,"ул. Валентины Трофимовой, д. 12, подъезд 1",34
2023-08-22,"ул. Валентины Трофимовой, д. 12, подъезд 2",22
2023-08-22,"ул. Валентины Трофимовой, д. 8, подъезд 1",29
2023-08-22,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-22,"ул. Монтажников 36, (ГП-4.7), подъезд 1",17
2023-08-22,"ул. Монтажников, д. 38, подъезд 1",19
2023-08-22,"ул. Монтажников, д. 38, подъезд 2",8
2023-08-22,"ул. Монтажников, д. 38, подъезд 3",28
2023-08-22,"ул. Монтажников, д. 40, подъезд 1",51
2023-08-22,"ул. Монтажников, д. 40, подъезд 2",42
2023-08-22,"ул. Монтажников, д. 40, подъезд 3",56
2023-08-22,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-22,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-23,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-23,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-23,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",2
2023-08-23,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-23,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-23,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",29
2023-08-23,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",21
2023-08-23,"ул. Валентины Трофимовой, д. 12, подъезд 1",33
2023-08-23,"ул. Валентины Трофимовой, д. 12, подъезд 2",21
2023-08-23,"ул. Валентины Трофимовой, д. 8, подъезд 1",28
2023-08-23,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-23,"ул. Монтажников 36, (ГП-4.7), подъезд 1",17
2023-08-23,"ул. Монтажников, д. 38, подъезд 1",18
2023-08-23,"ул. Монтажников, д. 38, подъезд 2",8
2023-08-23,"ул. Монтажников, д. 38, подъезд 3",27
2023-08-23,"ул. Монтажников, д. 40, подъезд 1",48
2023-08-23,"ул. Монтажников, д. 40, подъезд 2",39
2023-08-23,"ул. Монтажников, д. 40, подъезд 3",56
2023-08-23,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-23,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-24,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-24,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-24,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",2
2023-08-24,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-24,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-24,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",29
2023-08-24,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",21
2023-08-24,"ул. Валентины Трофимовой, д. 12, подъезд 1",33
2023-08-24,"ул. Валентины Трофимовой, д. 12, подъезд 2",21
2023-08-24,"ул. Валентины Трофимовой, д. 8, подъезд 1",28
2023-08-24,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-24,"ул. Монтажников 36, (ГП-4.7), подъезд 1",16
2023-08-24,"ул. Монтажников, д. 38, подъезд 1",18
2023-08-24,"ул. Монтажников, д. 38, подъезд 2",8
2023-08-24,"ул. Монтажников, д. 38, подъезд 3",25
2023-08-24,"ул. Монтажников, д. 40, подъезд 1",48
2023-08-24,"ул. Монтажников, д. 40, подъезд 2",37
2023-08-24,"ул. Монтажников, д. 40, подъезд 3",55
2023-08-24,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-24,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-25,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-25,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-25,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",2
2023-08-25,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-25,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-25,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",29
2023-08-25,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",21
2023-08-25,"ул. Валентины Трофимовой, д. 12, подъезд 1",33
2023-08-25,"ул. Валентины Трофимовой, д. 12, подъезд 2",21
2023-08-25,"ул. Валентины Трофимовой, д. 8, подъезд 1",28
2023-08-25,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-25,"ул. Монтажников 36, (ГП-4.7), подъезд 1",16
2023-08-25,"ул. Монтажников, д. 38, подъезд 1",18
2023-08-25,"ул. Монтажников, д. 38, подъезд 2",8
2023-08-25,"ул. Монтажников, д. 38, подъезд 3",25
2023-08-25,"ул. Монтажников, д. 40, подъезд 1",48
2023-08-25,"ул. Монтажников, д. 40, подъезд 2",37
2023-08-25,"ул. Монтажников, д. 40, подъезд 3",55
2023-08-25,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-25,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-26,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-26,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-26,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",1
2023-08-26,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-26,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-26,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",27
2023-08-26,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",18
2023-08-26,"ул. Валентины Трофимовой, д. 12, подъезд 1",31
2023-08-26,"ул. Валентины Трофимовой, д. 12, подъезд 2",21
2023-08-26,"ул. Валентины Трофимовой, д. 8, подъезд 1",28
2023-08-26,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-26,"ул. Монтажников 36, (ГП-4.7), подъезд 1",16
2023-08-26,"ул. Монтажников, д. 38, подъезд 1",17
2023-08-26,"ул. Монтажников, д. 38, подъезд 2",7
2023-08-26,"ул. Монтажников, д. 38, подъезд 3",25
2023-08-26,"ул. Монтажников, д. 40, подъезд 1",47
2023-08-26,"ул. Монтажников, д. 40, подъезд 2",36
2023-08-26,"ул. Монтажников, д. 40, подъезд 3",52
2023-08-26,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-26,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-27,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-27,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-27,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",1
2023-08-27,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-27,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-27,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",27
2023-08-27,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",18
2023-08-27,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 1",84
2023-08-27,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 2",55
2023-08-27,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 3",55
2023-08-27,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 4",55
2023-08-27,"ул. Валентины Трофимовой, д. 12, подъезд 1",31
2023-08-27,"ул. Валентины Трофимовой, д. 12, подъезд 2",21
2023-08-27,"ул. Валентины Трофимовой, д. 8, подъезд 1",28
2023-08-27,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-27,"ул. Монтажников 36, (ГП-4.7), подъезд 1",16
2023-08-27,"ул. Монтажников, д.  42, (ГП-5.10), подъезд 1",84
2023-08-27,"ул. Монтажников, д.  42, (ГП-5.10), подъезд 2",70
2023-08-27,"ул. Монтажников, д.  42, (ГП-5.10), подъезд 3",70
2023-08-27,"ул. Монтажников, д.  42а, (ГП-5.11), подъезд 1",84
2023-08-27,"ул. Монтажников, д.  42а, (ГП-5.11), подъезд 2",70
2023-08-27,"ул. Монтажников, д.  42а, (ГП-5.11), подъезд 3",70
2023-08-27,"ул. Монтажников, д. 38, подъезд 1",17
2023-08-27,"ул. Монтажников, д. 38, подъезд 2",7
2023-08-27,"ул. Монтажников, д. 38, подъезд 3",25
2023-08-27,"ул. Монтажников, д. 40, подъезд 1",47
2023-08-27,"ул. Монтажников, д. 40, подъезд 2",36
2023-08-27,"ул. Монтажников, д. 40, подъезд 3",52
2023-08-27,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-27,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-28,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 10",13
2023-08-28,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-28,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-28,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",1
2023-08-28,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-28,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-28,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",27
2023-08-28,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",18
2023-08-28,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 1",84
2023-08-28,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 2",55
2023-08-28,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 3",55
2023-08-28,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 4",55
2023-08-28,"ул. Валентины Трофимовой, д. 12, подъезд 1",30
2023-08-28,"ул. Валентины Трофимовой, д. 12, подъезд 2",21
2023-08-28,"ул. Валентины Трофимовой, д. 8, подъезд 1",28
2023-08-28,"ул. Валентины Трофимовой, д. 8, подъезд 2",18
2023-08-28,"ул. Монтажников 36, (ГП-4.7), подъезд 1",16
2023-08-28,"ул. Монтажников, д.  42, (ГП-5.10), подъезд 1",84
2023-08-28,"ул. Монтажников, д.  42, (ГП-5.10), подъезд 2",70
2023-08-28,"ул. Монтажников, д.  42, (ГП-5.10), подъезд 3",70
2023-08-28,"ул. Монтажников, д.  42а, (ГП-5.11), подъезд 1",84
2023-08-28,"ул. Монтажников, д.  42а, (ГП-5.11), подъезд 2",70
2023-08-28,"ул. Монтажников, д.  42а, (ГП-5.11), подъезд 3",70
2023-08-28,"ул. Монтажников, д. 38, подъезд 1",16
2023-08-28,"ул. Монтажников, д. 38, подъезд 2",7
2023-08-28,"ул. Монтажников, д. 38, подъезд 3",25
2023-08-28,"ул. Монтажников, д. 40, подъезд 1",47
2023-08-28,"ул. Монтажников, д. 40, подъезд 2",34
2023-08-28,"ул. Монтажников, д. 40, подъезд 3",49
2023-08-28,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
2023-08-28,"ул. Федора Достоевского, д.  24, (ГП-7.10.3), подъезд 2",1
2023-08-29,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 10",13
2023-08-29,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 4",2
2023-08-29,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 5",2
2023-08-29,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 7",1
2023-08-29,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 8",3
2023-08-29,"ул. Александра Митинского, д. 4, (ГП 3.8), подъезд 9",2
2023-08-29,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1",27
2023-08-29,"ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2",15
2023-08-29,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 1",72
2023-08-29,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 2",55
2023-08-29,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 3",55
2023-08-29,"ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 4",55
2023-08-29,"ул. Валентины Трофимовой, д. 12, подъезд 1",30
2023-08-29,"ул. Валентины Трофимовой, д. 12, подъезд 2",21
2023-08-29,"ул. Валентины Трофимовой, д. 8, подъезд 1",28
2023-08-29,"ул. Валентины Трофимовой, д. 8, подъезд 2",16
2023-08-29,"ул. Монтажников 36, (ГП-4.7), подъезд 1",16
2023-08-29,"ул. Монтажников, д.  42, (ГП-5.10), подъезд 1",84
2023-08-29,"ул. Монтажников, д.  42, (ГП-5.10), подъезд 2",70
2023-08-29,"ул. Монтажников, д.  42, (ГП-5.10), подъезд 3",70
2023-08-29,"ул. Монтажников, д.  42а, (ГП-5.11), подъезд 1",84
2023-08-29,"ул. Монтажников, д.  42а, (ГП-5.11), подъезд 2",70
2023-08-29,"ул. Монтажников, д.  42а, (ГП-5.11), подъезд 3",70
2023-08-29,"ул. Монтажников, д. 38, подъезд 1",16
2023-08-29,"ул. Монтажников, д. 38, подъезд 2",7
2023-08-29,"ул. Монтажников, д. 38, подъезд 3",23
2023-08-29,"ул. Монтажников, д. 40, подъезд 1",47
2023-08-29,"ул. Монтажников, д. 40, подъезд 2",33
2023-08-29,"ул. Монтажников, д. 40, подъезд 3",49
2023-08-29,"ул. Федора Достоевского, д.  22, (ГП-7.10.2), подъезд 1",1
